Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
lg-wd20egntspg,Lavasecarropas frontal inverter LG 20Kg WD20EGNTSPG,"<ul><li>Especificaciones</li><li>Capacidad lavado</li><li>20 Kg</li><li>Capacidad secado</li><li>10 Kg</li><li>Tipo de panel</li><li>Digital</li><li>Peso</li><li>85 Kg</li><li>Color</li><li>Negro</li><li>Dimensiones (Al x An x Prof.)</li><li>95 x 65 x 78cm</li><li>Características generales</li><li>Cantidad de programas Lavado / Secado</li><li>14 / 3</li><li>ThinQ</li><li>Sí</li><li>Motor</li><li>Inverter Direct Drive</li><li>Tecnología TurboWash</li><li>™ 360</li><li>Sí</li><li>Eco Hybrid 6 Motion DD™</li><li>Sí</li><li>Smart Diagnosis™</li><li>Sí</li><li>AI DD (Inteligencia Artificial)</li><li>Sí</li><li>Tecnología Steam™</li><li>Sí</li><li>Niveles de temperatura</li><li>6</li><li>Entrada de agua</li><li>Sólo fría</li><li>Puesta en marcha sin costo en Montevideo y Ciudad de la Costa. Conexión a la red eléctrica, agua corriente y/o desagüe según disponibilidad en el domicilio. Coordinar día y hora con Service ATE. Tel.: 2203 5997</li><li>Garantía: 12 meses defecto de fabricación - 10 años en el motor</li></ul>",LG,Electro,"Lavarropas, LG, stock-verificado",TRUE,Modelo,Lavasecarropas frontal inverter LG 20Kg WD20EGNTSPG,WD20EGNTSPG,49579.00,,10,deny,https://f.fcdn.app/imgs/c66059/www.ltienda.com.uy/lguy/b9c7/original/catalogo/WD20EGNTSPGWD20EGNTSPG1/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,1,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/4c2663/www.ltienda.com.uy/lguy/9e0f/original/catalogo/WD20EGNTSPGWD20EGNTSPG2/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,2,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/3400ac/www.ltienda.com.uy/lguy/5587/original/catalogo/WD20EGNTSPGWD20EGNTSPG3/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,3,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/ce54cc/www.ltienda.com.uy/lguy/13a9/original/catalogo/WD20EGNTSPGWD20EGNTSPG4/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,4,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/223d8e/www.ltienda.com.uy/lguy/d858/original/catalogo/WD20EGNTSPGWD20EGNTSPG5/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,5,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/36e0a8/www.ltienda.com.uy/lguy/a099/original/catalogo/WD20EGNTSPGWD20EGNTSPG6/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,6,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/44ef24/www.ltienda.com.uy/lguy/2176/original/catalogo/WD20EGNTSPGWD20EGNTSPG7/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,7,,
lg-wd20egntspg,,,,,,,,,,,,,,https://f.fcdn.app/imgs/328de0/www.ltienda.com.uy/lguy/318b/original/catalogo/WD20EGNTSPGWD20EGNTSPG8/1024-1024/lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg-lavasecarropas-frontal-inverter-lg-20kg-wd20egntspg.jpg,8,,
lg-wk22bs6,Torre de lavado y secado WashTower 22Kg WK22BS6,"<ul><li>Especificaciones</li><li>Material del tambor</li><li>Acero inoxidable</li><li>Capacidad lavado</li><li>22 Kg</li><li>Capacidad secado</li><li>16 Kg</li><li>Peso</li><li>154 Kg</li><li>Color</li><li>Negro</li><li>Dimensiones (An x Al x Prof):</li><li>68,6 x 189 x 77 cm</li><li>Características especiales</li><li>Cantidad de programas Lavado / Secado</li><li>6 / 6</li><li>Tipo de motor</li><li>Inverter Direct Drive</li><li>10 años de Garantía en el Motor</li><li>Sí</li><li>Tipo de secadora</li><li>Eléctrica</li><li>6 Motion DD™</li><li>Sí</li><li>TurboWash™ 360</li><li>Sí</li><li>Limpieza de Tambor</li><li>Sí</li><li>Smart Diagnosis</li><li>Sí</li><li>AI Assistant + ThinQ</li><li>Sí</li><li>Tecnología Steam (Lavado) / Turbo Steam (Secado)</li><li>Sí / Sí</li><li>Puesta en marcha sin costo en Montevideo y Ciudad de la Costa. Conexión a la red eléctrica, agua corriente y/o desagüe según disponibilidad en el domicilio. Coordinar día y hora con Service ATE. Tel.: 2203 5997</li><li>Garantía: 12 meses defecto de fabricación - 10 años en el motor</li></ul>",LG,Electro,"Lavarropas, LG, stock-verificado",TRUE,Modelo,Torre de lavado y secado WashTower 22Kg WK22BS6,WK22BS6,157089.00,,10,deny,https://f.fcdn.app/imgs/710aa2/www.ltienda.com.uy/lguy/91ba/original/catalogo/WK22BS6WK22BS61/1024-1024/torre-de-lavado-y-secado-washtower-22kg-wk22bs6-torre-de-lavado-y-secado-washtower-22kg-wk22bs6.jpg,1,,
lg-wk22bs6,,,,,,,,,,,,,,https://f.fcdn.app/imgs/e195a7/www.ltienda.com.uy/lguy/735d/original/catalogo/WK22BS6WK22BS62/1024-1024/torre-de-lavado-y-secado-washtower-22kg-wk22bs6-torre-de-lavado-y-secado-washtower-22kg-wk22bs6.jpg,2,,
